eps0,F,p_star,W_star,regime,n_local_maxima,n_thresholds,p_bar_low,p_bar_high
0.39152542372881355,0.08305084745762711,2.0665,-1.6868917418033027,AT_KINK,2,1,2.0689039488795427,
0.39152542372881355,0.11610169491525424,2.0934999999999997,-1.6845931443946771,AT_KINK,2,1,2.0968319260444406,
0.39152542372881355,0.14915254237288134,2.125,-1.6820243849487975,AT_KINK,2,1,2.1250499966003513,
0.39152542372881355,0.1822033898305085,2.152,-1.6799160423343609,AT_KINK,2,1,2.153559073588999,
0.39152542372881355,0.21525423728813559,2.179,-1.677891008398548,AT_KINK,2,1,2.1823600447539797,
0.39152542372881355,0.24830508474576268,2.2104999999999997,-1.6756302021948084,AT_KINK,2,1,2.2114537726821912,
0.39152542372881355,0.28135593220338984,2.2375,-1.6737766524205804,AT_KINK,2,1,2.240841094959103,
0.39152542372881355,0.31440677966101693,2.269,-1.6717090908856818,AT_KINK,2,1,2.2705228243347437,
0.39152542372881355,0.34745762711864403,2.296,-1.6700155910383763,AT_KINK,2,1,2.300499748900998,
0.39152542372881355,0.3805084745762712,2.3274999999999997,-1.6681285329455648,AT_KINK,2,1,2.3307726322795497,
0.39152542372881355,0.4135593220338983,2.359,-1.66633378175398,AT_KINK,2,1,2.3613422138200093,
0.39152542372881355,0.4466101694915254,2.3905,-1.6646281209575062,AT_KINK,2,1,2.3922092088077354,
0.39152542372881355,0.47966101694915253,2.4219999999999997,-1.66300848187253,AT_KINK,2,1,2.4233743086808865,
0.39152542372881355,0.5127118644067796,2.4535,-1.6614719351046392,AT_KINK,2,1,2.454838181256349,
0.39152542372881355,0.5457627118644068,2.485,-1.6600156826079586,AT_KINK,2,1,2.4866014709632904,
0.39152542372881355,0.5788135593220339,2.5164999999999997,-1.6586370502891303,AT_KINK,2,1,2.518664799085875,
0.39152542372881355,0.611864406779661,2.548,-1.6573334811123717,AT_KINK,2,1,2.5510287640119875,
