family,p,welfare,expenditure,originator_profit,originator_participates
linear,6.85,32.29848749999999,38.09627499999999,38.033249999999995,1
linear,6.8545,32.29841233875,38.114824247499996,38.062448925,1
linear,6.859,32.298335355,38.13336498999999,38.0916357,1
linear,6.863499999999999,32.29825654874999,38.151897227499994,38.120810324999994,1
linear,6.867999999999999,32.29817592,38.170420959999994,38.1499728,1
linear,6.8725,32.29809346874999,38.1889361875,38.179123125,1
linear,6.877,32.298009195000006,38.20744290999999,38.2082613,1
linear,6.8815,32.29792309875,38.22594112749999,38.23738732499999,1
linear,6.885999999999999,32.29783518,38.24443083999999,38.26650119999999,1
linear,6.890499999999999,32.297745438750006,38.262912047499995,38.295602925,1
linear,6.895,32.297653874999995,38.281384749999994,38.3246925,1
linear,6.8995,32.297560488749994,38.29984894749999,38.353769924999995,1
linear,6.904,32.29746528,38.31830464,38.382835199999995,1
linear,6.908499999999999,32.29736824875,38.336751827499995,38.41188832499999,1
linear,6.912999999999999,32.297269395,38.35519050999999,38.44092929999999,1
linear,6.9174999999999995,32.29716871875001,38.373620687499994,38.46995812499999,1
linear,6.922,32.29706621999999,38.39204236,38.4989748,1
linear,6.9265,32.296961898750006,38.41045552749999,38.527979325,1
linear,6.930999999999999,32.29685575499999,38.428860189999995,38.55697169999999,1
linear,6.935499999999999,32.296747788750004,38.44725634749999,38.585951924999996,1
linear,6.9399999999999995,32.296638,38.46564399999999,38.61491999999999,1
linear,6.9445,32.296526388749996,38.4840231475,38.643875924999996,1
linear,6.949,32.296412955,38.50239378999999,38.6728197,1
linear,6.953499999999999,32.296297698749996,38.52075592749999,38.70175132499999,1
linear,6.957999999999999,32.29618062,38.53910955999999,38.73067079999999,1
linear,6.9624999999999995,32.296061718749996,38.55745468749999,38.759578125,1
linear,6.967,32.295940994999995,38.57579130999999,38.7884733,1
linear,6.9715,32.29581844875,38.5941194275,38.817356325,1
linear,6.976,32.295694080000004,38.61243903999999,38.846227199999994,1
linear,6.980499999999999,32.295567888749986,38.630750147499995,38.87508592499999,1
linear,6.984999999999999,32.295439875,38.649052749999996,38.903932499999996,1
linear,6.9895,32.29531003874999,38.6673468475,38.932766924999996,1
linear,6.994,32.29517838,38.68563243999999,38.9615892,1
linear,6.9985,32.29504489874999,38.70390952749999,38.990399325,1
linear,7.002999999999999,32.294909595,38.722178109999994,39.019197299999995,1
linear,7.007499999999999,32.294772468750004,38.7404381875,39.047983124999995,1
linear,7.012,32.29463352,38.758689759999996,39.0767568,1
linear,7.0165,32.29449274875,38.77693282749999,39.105518325,1
linear,7.021,32.29435015499999,38.795167389999996,39.134267699999995,1
linear,7.025499999999999,32.294205738749994,38.81339344749999,39.163004924999996,1
linear,7.029999999999999,32.294059499999996,38.831610999999995,39.19172999999999,1
linear,7.0344999999999995,32.29391143875001,38.84982004749999,39.22044292499999,1
linear,7.039,32.293761555,38.86802058999999,39.24914369999999,1
linear,7.0435,32.29360984875001,38.886212627499994,39.277832325,1
linear,7.047999999999999,32.29345631999999,38.90439616,39.306508799999996,1
linear,7.052499999999999,32.29330096875,38.92257118749999,39.33517312499999,1
linear,7.0569999999999995,32.29314379499999,38.94073770999999,39.363825299999995,1
linear,7.0615,32.29298479875,38.95889572749999,39.392465324999996,1
linear,7.066,32.29282398,38.977045239999995,39.4210932,1
linear,7.070499999999999,32.292661338749994,38.995186247499994,39.449708924999996,1
linear,7.074999999999999,32.292496875,39.01331874999999,39.478312499999994,1
linear,7.0794999999999995,32.29233058875,39.031442747499995,39.506903924999996,1
linear,7.084,32.29216247999999,39.04955823999999,39.535483199999994,1
linear,7.0885,32.29199254875,39.0676652275,39.564050325,1
linear,7.093,32.291820795,39.085763709999995,39.592605299999995,1
linear,7.097499999999999,32.29164721875001,39.10385368749999,39.62114812499999,1
linear,7.101999999999999,32.291471820000005,39.12193515999999,39.6496788,1
linear,7.1065,32.29129459874999,39.140008127499996,39.678197325,1
linear,7.111,32.291115555000005,39.158072589999996,39.7067037,1
linear,7.1155,32.29093468875,39.17612854749999,39.735197924999994,1
linear,7.119999999999999,32.290752,39.19417599999999,39.763679999999994,1
linear,7.124499999999999,32.29056748875001,39.212214947499994,39.792149925,1
linear,7.129,32.290381155,39.23024538999999,39.8206077,1
linear,7.1335,32.29019299875,39.248267327499995,39.84905332499999,1
linear,7.138,32.29000301999999,39.266280759999994,39.87748679999999,1
linear,7.142499999999999,32.289811218749996,39.284285687499995,39.905908124999996,1
linear,7.146999999999999,32.289617594999996,39.30228210999999,39.9343173,1
linear,7.1514999999999995,32.28942214875,39.320270027499994,39.96271432499999,1
linear,7.156,32.28922488,39.33824944,39.991099199999994,1
linear,7.1605,32.28902578875,39.3562203475,40.019471925,1
linear,7.164999999999999,32.28882487499999,39.374182749999996,40.04783249999999,1
linear,7.169499999999999,32.28862213875001,39.392136647499996,40.076180924999996,1
linear,7.1739999999999995,32.28841758,39.41008203999999,40.1045172,1
linear,7.1785,32.28821119875,39.4280189275,40.132841324999994,1
linear,7.183,32.28800299499999,39.445947309999994,40.161153299999995,1
linear,7.187499999999999,32.28779296875,39.46386718749999,40.18945312499999,1
linear,7.191999999999999,32.28758112,39.48177855999999,40.217740799999994,1
linear,7.1964999999999995,32.28736744874999,39.49968142749999,40.24601632499999,1
linear,7.201,32.28715195499999,39.517575789999995,40.274279699999994,1
linear,7.2055,32.28693463875,39.5354616475,40.302530925,1
linear,7.21,32.28671550000001,39.553338999999994,40.33077,1
linear,7.214499999999999,32.286494538750006,39.57120784749999,40.35899692499999,1
linear,7.218999999999999,32.286271755,39.58906818999999,40.387211699999995,1
linear,7.2235,32.286047148749994,39.606920027499996,40.415414325,1
linear,7.228,32.285820720000004,39.624763359999996,40.443604799999996,1
linear,7.2325,32.285592468749996,39.64259818749999,40.471783124999995,1
linear,7.236999999999999,32.285362395,39.66042450999999,40.49994929999999,1
linear,7.241499999999999,32.28513049875,39.678242327499994,40.528103325,1
linear,7.2459999999999996,32.28489678,39.69605164,40.5562452,1
linear,7.2505,32.28466123875,39.713852447499995,40.584374925,1
linear,7.255,32.284423874999995,39.731644749999994,40.612492499999995,1
linear,7.259499999999999,32.28418468874999,39.74942854749999,40.640597924999994,1
linear,7.263999999999999,32.28394367999999,39.76720384,40.6686912,1
linear,7.2684999999999995,32.28370084875001,39.784970627499995,40.696772325,1
linear,7.273,32.28345619500001,39.80272890999999,40.724841299999994,1
linear,7.2775,32.28320971875,39.8204786875,40.752898125,1
linear,7.281999999999999,32.282961419999985,39.838219959999996,40.7809428,1
linear,7.286499999999999,32.28271129875001,39.8559527275,40.80897532499999,1
linear,7.2909999999999995,32.282459355,39.87367698999999,40.836995699999996,1
linear,7.2955,32.282205588749996,39.89139274749999,40.86500392499999,1
linear,7.3,32.28195,39.909099999999995,40.892999999999994,1
linear,7.304499999999999,32.28169258875,39.926798747499994,40.920983924999994,1
linear,7.308999999999999,32.281433355,39.94448898999999,40.94895569999999,1
linear,7.3134999999999994,32.281172298749986,39.962170727499995,40.97691532499999,1
linear,7.318,32.280909419999986,39.97984396,41.0048628,1
linear,7.3225,32.28064471875,39.997508687499995,41.032798125,1
linear,7.327,32.280378195000004,40.015164909999996,41.0607213,1
linear,7.331499999999999,32.28010984875001,40.03281262749999,41.08863232499999,1
linear,7.335999999999999,32.27983968000001,40.050451839999994,41.1165312,1
linear,7.3405,32.279567688749985,40.0680825475,41.144417925,1
linear,7.345,32.279293875,40.08570475,41.1722925,1
linear,7.3495,32.27901823875,40.103318447499994,41.200154925,1
linear,7.353999999999999,32.27874078,40.120923639999994,41.22800519999999,1
linear,7.358499999999999,32.27846149875,40.13852032749999,41.255843324999994,1
linear,7.3629999999999995,32.27818039499999,40.156108509999996,41.2836693,1
linear,7.3675,32.27789746875,40.17368818749999,41.311483124999995,1
linear,7.372,32.277612719999986,40.19125935999999,41.339284799999994,1
linear,7.376499999999999,32.27732614874999,40.20882202749999,41.36707432499999,1
linear,7.380999999999999,32.277037754999995,40.226376189999996,41.3948517,1
linear,7.3854999999999995,32.27674753875001,40.2439218475,41.42261692499999,1
linear,7.39,32.276455500000004,40.26145899999999,41.45036999999999,1
linear,7.3945,32.27616163875,40.278987647499996,41.478110924999996,1
linear,7.398999999999999,32.27586595499999,40.29650778999999,41.505839699999996,1
linear,7.403499999999999,32.27556844875,40.31401942749999,41.53355632499999,1
linear,7.4079999999999995,32.27526912,40.33152255999999,41.56126079999999,1
linear,7.4125,32.27496796875,40.349017187499996,41.588953124999996,1
linear,7.417,32.274664995,40.36650330999999,41.6166333,1
linear,7.421499999999999,32.274360198749996,40.3839809275,41.644301324999994,1
linear,7.425999999999999,32.27405358,40.40145003999999,41.671957199999994,1
linear,7.430499999999999,32.273745138749995,40.41891064749999,41.69960092499999,1
linear,7.435,32.27343487499999,40.436362749999994,41.7272325,1
linear,7.4395,32.27312278875,40.4538063475,41.754851925,1
linear,7.444,32.27280888000001,40.47124144,41.7824592,1
linear,7.448499999999999,32.27249314875001,40.48866802749999,41.81005432499999,1
linear,7.452999999999999,32.27217559500001,40.50608611,41.8376373,1
linear,7.4575,32.271856218749996,40.52349568749999,41.865208124999995,1
linear,7.462,32.27153502000001,40.54089676,41.8927668,1
linear,7.4665,32.27121199875,40.55828932749999,41.920313324999995,1
linear,7.470999999999999,32.270887155,40.57567338999999,41.94784769999999,1
linear,7.475499999999999,32.27056048875,40.593048947499994,41.975369924999995,1
linear,7.4799999999999995,32.27023199999999,40.610416,42.00288,1
linear,7.4845,32.26990168875,40.627774547499996,42.030377924999996,1
linear,7.489,32.26956955499999,40.645124589999995,42.0578637,1
linear,7.493499999999999,32.26923559874999,40.66246612749999,42.08533732499999,1
linear,7.497999999999999,32.26889982,40.679799159999995,42.1127988,1
linear,7.5024999999999995,32.268562218750006,40.697123687499996,42.140248125,1
linear,7.507,32.26822279500001,40.71443970999999,42.167685299999995,1
linear,7.5115,32.26788154875,40.731747227499994,42.195110324999995,1
linear,7.515999999999999,32.26753847999999,40.74904623999999,42.2225232,1
linear,7.520499999999999,32.267193588750004,40.7663367475,42.249923925,1
linear,7.5249999999999995,32.266846875,40.783618749999995,42.277312499999994,1
linear,7.5295,32.26649833875,40.800892247499995,42.304688924999994,1
linear,7.534,32.26614797999999,40.81815724,42.3320532,1
linear,7.538499999999999,32.26579579875,40.8354137275,42.359405325,1
linear,7.542999999999999,32.265441795,40.85266170999999,42.386745299999994,1
linear,7.547499999999999,32.26508596874999,40.86990118749999,42.414073124999994,1
linear,7.552,32.26472831999999,40.88713215999999,42.4413888,1
linear,7.5565,32.26436884875,40.90435462749999,42.46869232499999,1
linear,7.561,32.264007555,40.92156859,42.4959837,1
linear,7.565499999999999,32.26364443875,40.93877404749999,42.52326292499999,1
linear,7.569999999999999,32.263279499999996,40.95597099999999,42.55052999999999,1
linear,7.5745,32.262912738749996,40.973159447499995,42.577784924999996,1
linear,7.579,32.26254415500001,40.99033939,42.6050277,1
linear,7.5835,32.26217374875,41.0075108275,42.632258324999995,1
linear,7.587999999999999,32.26180151999999,41.02467375999999,42.65947679999999,1
linear,7.592499999999999,32.26142746874999,41.041828187499995,42.686683124999995,1
linear,7.5969999999999995,32.261051595,41.058974109999994,42.7138773,1
linear,7.6015,32.26067389875,41.0761115275,42.741059324999995,1
linear,7.606,32.26029437999999,41.093240439999995,42.76822919999999,1
linear,7.610499999999999,32.259913038749986,41.11036084749999,42.795386924999995,1
linear,7.614999999999999,32.259529875,41.127472749999995,42.822532499999994,1
linear,7.6194999999999995,32.25914488875001,41.1445761475,42.849665925,1
linear,7.624,32.25875808,41.161671039999995,42.876787199999995,1
linear,7.6285,32.258369448749995,41.178757427499995,42.903896325,1
linear,7.632999999999999,32.257978994999995,41.19583530999999,42.93099329999999,1
linear,7.637499999999999,32.257586718750005,41.2129046875,42.95807812499999,1
linear,7.6419999999999995,32.25719262,41.22996556,42.98515079999999,1
linear,7.6465,32.256796698749994,41.24701792749999,43.012211324999996,1
linear,7.651,32.256398955,41.26406179,43.039259699999995,1
linear,7.655499999999999,32.25599938875,41.2810971475,43.06629592499999,1
linear,7.659999999999999,32.25559799999999,41.298123999999994,43.09331999999999,1
linear,7.664499999999999,32.25519478874999,41.31514234749999,43.120331924999995,1
linear,7.669,32.254789755000004,41.332152189999995,43.147331699999995,1
linear,7.6735,32.25438289875001,41.34915352749999,43.174319325,1
linear,7.678,32.25397422,41.36614636,43.2012948,1
linear,7.682499999999999,32.25356371875001,41.38313068749999,43.22825812499999,1
linear,7.686999999999999,32.253151394999996,41.40010650999999,43.25520929999999,1
linear,7.6915,32.25273724875,41.41707382749999,43.282148324999994,1
